Bot,Simulation,q,Time Step,Result
Bot1,1,0.00,37,Success
Bot2,1,0.00,37,Success
Bot3,1,0.00,37,Success
Bot4,1,0.00,37,Success
Bot1,2,0.00,47,Success
Bot2,2,0.00,51,Success
Bot3,2,0.00,47,Success
Bot4,2,0.00,47,Success
Bot1,3,0.00,33,Success
Bot2,3,0.00,33,Success
Bot3,3,0.00,33,Success
Bot4,3,0.00,33,Success
Bot1,4,0.00,34,Success
Bot2,4,0.00,34,Success
Bot3,4,0.00,34,Success
Bot4,4,0.00,34,Success
Bot1,5,0.00,27,Success
Bot2,5,0.00,27,Success
Bot3,5,0.00,27,Success
Bot4,5,0.00,27,Success
Bot1,6,0.00,21,Success
Bot2,6,0.00,25,Success
Bot3,6,0.00,21,Success
Bot4,6,0.00,21,Success
Bot1,7,0.00,49,Success
Bot2,7,0.00,49,Success
Bot3,7,0.00,49,Success
Bot4,7,0.00,49,Success
Bot1,8,0.00,52,Success
Bot2,8,0.00,52,Success
Bot3,8,0.00,52,Success
Bot4,8,0.00,52,Success
Bot1,9,0.00,13,Success
Bot2,9,0.00,13,Success
Bot3,9,0.00,13,Success
Bot4,9,0.00,13,Success
Bot1,10,0.00,26,Success
Bot2,10,0.00,26,Success
Bot3,10,0.00,26,Success
Bot4,10,0.00,26,Success
Bot1,11,0.00,45,Success
Bot2,11,0.00,47,Success
Bot3,11,0.00,45,Success
Bot4,11,0.00,45,Success
Bot1,12,0.00,12,Success
Bot2,12,0.00,14,Success
Bot3,12,0.00,12,Success
Bot4,12,0.00,12,Success
Bot1,13,0.00,33,Success
Bot2,13,0.00,33,Success
Bot3,13,0.00,33,Success
Bot4,13,0.00,33,Success
Bot1,14,0.00,17,Success
Bot2,14,0.00,17,Success
Bot3,14,0.00,17,Success
Bot4,14,0.00,17,Success
Bot1,15,0.00,19,Success
Bot2,15,0.00,19,Success
Bot3,15,0.00,19,Success
Bot4,15,0.00,19,Success
Bot1,16,0.00,25,Success
Bot2,16,0.00,25,Success
Bot3,16,0.00,25,Success
Bot4,16,0.00,25,Success
Bot1,17,0.00,36,Success
Bot2,17,0.00,38,Success
Bot3,17,0.00,36,Success
Bot4,17,0.00,36,Success
Bot1,18,0.00,20,Success
Bot2,18,0.00,20,Success
Bot3,18,0.00,20,Success
Bot4,18,0.00,20,Success
Bot1,19,0.00,31,Success
Bot2,19,0.00,31,Success
Bot3,19,0.00,31,Success
Bot4,19,0.00,31,Success
Bot1,20,0.00,33,Success
Bot2,20,0.00,33,Success
Bot3,20,0.00,33,Success
