Bot,Success Probability,Average Success,q
Bot1,0.09,100,0.00
Bot2,0.09,100,0.00
Bot3,0.09,99,0.00
Bot4,0.09,100,0.00
Bot1,0.18,199,0.10
Bot2,0.18,197,0.10
Bot3,0.18,197,0.10
Bot4,0.18,200,0.10
Bot1,0.26,286,0.20
Bot2,0.26,285,0.20
Bot3,0.26,287,0.20
Bot4,0.27,297,0.20
Bot1,0.34,374,0.30
Bot2,0.34,372,0.30
Bot3,0.34,374,0.30
Bot4,0.35,390,0.30
Bot1,0.42,457,0.40
Bot2,0.41,455,0.40
Bot3,0.42,457,0.40
Bot4,0.43,478,0.40
Bot1,0.48,531,0.50
Bot2,0.48,530,0.50
Bot3,0.48,531,0.50
Bot4,0.50,554,0.50
Bot1,0.54,596,0.60
Bot2,0.54,597,0.60
Bot3,0.54,596,0.60
Bot4,0.57,623,0.60
Bot1,0.60,660,0.70
Bot2,0.60,659,0.70
Bot3,0.60,658,0.70
Bot4,0.63,690,0.70
Bot1,0.65,719,0.80
Bot2,0.65,717,0.80
Bot3,0.65,716,0.80
Bot4,0.68,752,0.80
Bot1,0.71,779,0.90
Bot2,0.71,778,0.90
Bot3,0.70,774,0.90
Bot4,0.74,811,0.90
Bot1,0.77,842,1.00
Bot2,0.76,839,1.00
Bot3,0.76,835,1.00
Bot4,0.79,874,1.00
